Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,AmountPaid,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Feedback,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
11,male,Igbo,Mr.,Zikoranachukwudimma,N,Chikelu,17483.15,1763 Loop St,Piketberg,WC,Western Cape,7323,ZA,South Africa,,ZikoranachukwudimmaChikelu@einrot.com,Feramplon,Aingeo9i,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",083 735 6017,27,Osinachi,21-11-87,Scorpio,Visa,4916761465965186,859,Nov-16,,1Z 283 0V8 50 5039 454 7,0652550081,08912456,Green,Shipping clerk,Elek-Tek,1993 Fiat 126,OnlineSmackdown.co.za,B+,141.7,64.4,"6' 0""",182,6197158f-32e9-473e-92f3-4b1d04b587c7,-32.975073,18.737646
12,female,Russian,Ms.,Albina,V,Yegorova,49906,1533 Mosman Rd,Okiep,NC,Northern Cape,8271,ZA,South Africa,Perfect! Just what I needed,AlbinaYegorova@superrito.com,Lifid1993,ahy0Wie1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",085 917 2004,27,,13-09-93,Virgo,Visa,4716092058189485,342,Sep-18,,1Z 540 606 65 7959 162 7,7359071038,68824341,Blue,Rural mail carrier,Naturohair,2004 Hyundai Getz,PlayerPointers.co.za,A+,184.1,83.7,"5' 9""",175,bf176970-31f5-413c-aa80-ade4cff7e9a0,-29.671339,17.839401
13,female,Japanese (Anglicized),Mrs.,Sadayo,H,Nishikawa,64815.89,950 Fox St,Lichtenburg,NW,North West,2740,ZA,South Africa,,SadayoNishikawa@cuvox.de,Saink1952,eD5ohl7i,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",082 954 7576,27,Morita,21-06-52,Cancer,Visa,4916561306766359,260,Oct-20,,1Z 45F 982 51 6346 007 1,2885584626,13218711,Green,Oxy-gas cutter,The Royal Canadian Pancake Houses,1997 Porsche 993,HybridData.co.za,A+,186.1,84.6,"5' 1""",155,fb17a76d-6a3c-4cdf-95c8-2c87e5eee640,-26.18505,26.200563
14,male,Scottish,Mr.,Paul,R,Murphy,54154.85,272 President St,Johannesburg,GA,Gauteng,2119,ZA,South Africa,,PaulMurphy@rhyta.com,Thicated,te2Ko2ahS,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",083 878 6870,27,Mackay,08-05-89,Taurus,Visa,4929140553580550,056,Apr-19,,1Z V07 97A 18 2347 729 2,9231648813,25289690,Black,Columnist,Dun Rite Lawn Care,1992 Volkswagen Quantum,MobileRefrigerators.co.za,O+,136.4,62,"5' 6""",168,a6a321be-45d1-47f8-aff7-70f4a0f7f094,-26.204689,28.023893
15,male,American,Mr.,Patrick,C,Horton,58586.37,1236 Barlow Street,Mokopane,LI,Limpopo,0616,ZA,South Africa,Appreciate your service,PatrickCHorton@armyspy.com,Moson1988,Eib6ohmai,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",083 522 5811,27,Mullins,23-11-88,Sagittarius,MasterCard,5216840373291085,230,Aug-20,,1Z 960 670 39 7352 081 7,3105531018,53621095,Red,Human resources administrative assistant,Sportswest,1994 Audi A4,PreviewJob.co.za,B+,157.7,71.7,"6' 0""",184,5df97177-1adc-4128-a74d-84254fcd08b7,-24.132053,29.103763
16,male,Igbo,Mr.,Amechi,A,Odinakachukwu,52212.37,1907 Schoeman St,Centurion,GA,Gauteng,0051,ZA,South Africa,,AmechiOdinakachukwu@gustr.com,Kinty1967,Paph9ahGuo,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",085 540 6197,27,Iweobiegbulam,03-11-67,Scorpio,MasterCard,5401170842639663,493,Apr-18,,1Z 361 3E3 94 4344 172 7,7008274621,64861604,Blue,Magistrate,Greenwich IGA,2011 Mitsubishi Eclipse,OyYachts.co.za,A+,174.9,79.5,"5' 6""",167,e89c6e1c-6ed8-42ef-bab8-cb6e003d868a,-25.881989,28.185016
17,female,Japanese (Anglicized),Ms.,Kao,T,Tou,90892.9,2191 Dikbas Road,Siyabuswa,MP,Mpumalanga,0462,ZA,South Africa,,KaoTou@jourrapide.com,Samery,feeyoo4Quie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",085 357 4967,27,Terada,06-03-56,Pisces,Visa,4539400845553191,077,Apr-20,,1Z 416 434 68 8431 487 6,6219840529,00968058,Purple,Paper coating machine operator,Specialty Restaurant Group,1997 Beijing BJ 2020,DebateUs.co.za,B+,209.7,95.3,"5' 0""",153,9537fcf9-4144-4804-81b7-7fda71840dc0,-25.151523,28.980869
18,female,Scottish,Mrs.,Tilly,H,Kerr,41282.37,1695 Albert St,Germiston,GA,Gauteng,1405,ZA,South Africa,Not the best service,TillyKerr@armyspy.com,Somorfuld,ZaiPhaej3pai,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",085 615 2787,27,Walker,28-09-58,Libra,MasterCard,5337023892530143,195,Dec-18,,1Z 5E6 583 50 2190 483 5,4947662218,33049309,Purple,Meeting manager,Best Products,2011 Fiat Doblo,BargainSelling.co.za,O+,194.3,88.3,"5' 0""",152,a2cfc522-bf7b-42a9-8946-de023aefa18c,-26.180533,28.215543
19,male,England/Wales,Mr.,Morgan,E,Morrison,46607.88,10 Barlow Street,Mokopane,LI,Limpopo,0612,ZA,South Africa,Could have been better,MorganMorrison@fleckens.hu,Torms1985,yung2NieB6e,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36",082 341 9827,27,Hussain,26-07-85,Leo,Visa,4556535075093885,616,Jun-16,,1Z 633 711 46 4518 756 4,7318558283,83452105,Blue,Family child care provider,Exact Realty,2010 Volkswagen Passat,VancouverResidential.co.za,O+,188.1,85.5,"6' 0""",182,aff0e830-ef32-43b8-88fa-9ea5b75ad782,-24.085556,28.976327
20,male,Chinese,Mr.,On,Y,Fan,60787.61,541 Kort St,Bloemfontein,FS,Free State,9305,ZA,South Africa,,OnFan@jourrapide.com,Formant,iahoZee4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/43.0.2357.81 Chrome/43.0.2357.81 Safari/537.36",083 780 0483,27,Sun,27-02-91,Pisces,MasterCard,5339505638313543,162,Apr-17,,1Z 858 507 08 6018 420 1,3502007615,16608481,Blue,LAN administrator,Body Fate,2004 Ford Econovan,TodayRoom.co.za,B+,211.9,96.3,"5' 9""",174,bec59455-2894-4d83-aa96-4bb0a4a184b2,-29.072437,26.263217
21,female,Russian,Mrs.,Esther,N,Cherkasova,98244.36,297 Burger St,Giyani,LI,Limpopo,0986,ZA,South Africa,Could have been better,EstherCherkasova@einrot.com,Sitherens,oz5Eiquei,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.37 (KHTML, like Gecko) Version/9.0 Safari/601.1.37",083 504 6406,27,,30-11-57,Sagittarius,Visa,4716259024260266,740,May-20,,1Z 56E 938 44 4492 564 3,5370836001,89166187,Green,Receive-and-deliver clerk,Hudson's MensWear,1995 Lamborghini Diablo,SignatureLawyer.co.za,B+,125.8,57.2,"5' 1""",156,2ae8aa80-e64d-4bca-a1d8-2e24142fa6c6,-23.38127,30.650166
22,male,Australian,Mr.,Aaron,C,Frame,46118.56,1730 Akasia St,Umzimkulu,EC,Eastern Cape,3307,ZA,South Africa,,AaronFrame@gustr.com,Doomsed,kaNgei9b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",085 799 6767,27,Molvig,21-07-70,Cancer,Visa,4539713092462373,789,Sep-16,,1Z 90A 05W 83 9714 720 8,6429530922,30402302,Green,Poultry trimmer,Monit,1995 Chrysler Cirrus,SatelliteSavvy.co.za,A+,198.9,90.4,"5' 10""",177,ed918ff9-7e39-44a4-a869-52e2b1c5cb50,-30.320614,29.930868
23,female,American,Ms.,Pamela,C,Doolittle,87503.2,1569 Derby Ave,Kempton Park,GA,Gauteng,1638,ZA,South Africa,Thanks,PamelaCDoolittle@superrito.com,Sully1972,UDae8eek,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",084 260 5607,27,Rankins,09-05-72,Taurus,MasterCard,5261902656285863,048,Feb-20,,1Z F77 4W3 62 2859 576 7,2339977254,97677606,Purple,INS agent,Disc Jockey,1994 Plymouth Prowler,PickWiz.co.za,O+,193.4,87.9,"5' 5""",165,c1c6da6b-d2a1-4c7c-b3fe-58df8ba8e089,-26.016122,28.237481
24,male,Italian,Mr.,Vito,I,Colombo,22615.13,758 Station Road,Harrismith,FS,Free State,3372,ZA,South Africa,Can't believe how great you guys are,VitoColombo@cuvox.de,Gagin1984,aWookeez1ph,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36",084 343 7549,27,Lo Duca,19-08-84,Leo,MasterCard,5141371895980096,784,May-17,,1Z 318 147 37 6330 506 5,3870830666,14381419,Blue,Interior decorator,Forest City,2001 Toyota Solara,InterviewBuzz.co.za,AB+,163.5,74.3,"5' 9""",176,841346ed-9270-4895-853d-73284a649f65,-28.218931,29.150954
25,male,Russian,Dr.,Ahmed,A,Andreyev,7756.38,1526 Bezuidenhout St,Ermelo,MP,Mpumalanga,2332,ZA,South Africa,"I feel a very unusual sensation – if it is not indigestion, I think it must be gratitude.",AhmedAndreyev@jourrapide.com,Angloody1965,quahwiDae8D,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",084 546 5054,27,,26-04-65,Taurus,MasterCard,5475616554788289,745,Jul-18,,1Z 339 2A6 15 5650 148 1,6948810904,88356206,Orange,Packaging and filling machine operator,Steve's Ice Cream,1994 Nissan Rasheen,PetroleumFinder.co.za,O+,240.5,109.3,"5' 7""",170,c7addcb2-ad8d-4007-a379-c117a3c1b3d5,-26.506975,29.952062
26,female,Russian,Ms.,Daria,J,Bykova,49439.76,1625 Nelson Mandela Drive,Giyani,LI,Limpopo,0826,ZA,South Africa,Good service,DariaBykova@cuvox.de,Upeor1952,EcheeVa2Ae,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",085 719 8762,27,,06-11-52,Scorpio,Visa,4532006598312391,905,Mar-19,,1Z W57 400 59 4307 631 0,1452206163,19304828,Green,Anthropologist,Star Assistance,2005 Land Rover Defender,WorstCritic.co.za,A+,180.2,81.9,"5' 4""",163,073a71d4-74bb-4d49-91b1-1c4837bca400,-23.301579,30.769354
27,female,Scottish,Ms.,Meghan,L,Watson,58254.84,2004 Brand St,Fauresmith,FS,Free State,9978,ZA,South Africa,"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow",MeghanWatson@dayrep.com,Begovere,Thu9Quae,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0,082 922 7505,27,Crawford,10-04-78,Aries,MasterCard,5493296763607469,756,Feb-16,,1Z V14 39E 95 5242 716 8,5917052803,00277945,Blue,Milling and planing machine operator,Dun Rite Lawn Care,1992 Porsche 928,TrafficHounds.co.za,A+,113.1,51.4,"5' 1""",155,b0f71fac-9277-47c1-93d4-58659b7868c2,-29.738547,25.329783
28,male,Italian,Mr.,Cupido,D,Lori,68242.45,1141 First Ave,Mafikeng,NW,North West,2753,ZA,South Africa,,CupidoLori@superrito.com,Onexped,yieKei3pee,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36",084 224 1427,27,Piazza,15-08-85,Leo,Visa,4556311994170745,571,Aug-20,,1Z 15F E28 20 4078 722 6,7470734231,86639372,Blue,Forensic technician,J. Riggings,2003 Porsche GT2,LandscapeExchange.co.za,A+,164.1,74.6,"5' 7""",171,9e0ccf1d-e9a8-474a-9dca-839c7cbb1044,-25.849058,25.724975
29,,,,,,,,,,,Free State,9873,ZA,South Africa,"Make it a habit to tell people thank you. To express your appreciation, sincerely and without the expectation of anything in return. Truly appreciate those around you, and you’ll soon find many others around you. Truly appreciate life, and you’ll find that you have more of it.",ObielumaniKwemto@armyspy.com,Thys1961,eigaegaiG6i,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",085 364 7223,27,Obiuto,27-07-61,Leo,Visa,4929978212627084,402,Aug-20,,1Z 6W4 75F 82 6715 762 4,4096972756,89453442,Purple,"Treatment, storage, and disposal (TSD) worker",American Appliance,1994 Ford Fairlane,SongQuestions.co.za,O-,115.1,52.3,"5' 8""",172,5f1d6053-605d-43ae-8ceb-a32aa0e1b822,-28.610472,28.768489
30,female,England/Wales,Ms.,,,,75786.18,2133 Crown St,Sakhile,MP,Mpumalanga,2431,ZA,South Africa,,EvieSchofield@fleckens.hu,Sudielits,eishieQu8ea,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2",083 465 3763,27,Slater,05-01-65,Capricorn,MasterCard,5437906811999861,422,Dec-19,,1Z 121 583 69 7698 251 3,3205096940,85102461,Blue,Geriatric nurse,Bodega Club,2000 Volkswagen AAC,AirlineFunds.co.za,B+,231.7,105.3,"5' 4""",162,7c9cc0dc-93f1-4776-abdc-4beb1a0ad48b,-26.940338,29.194505
31,female,Igbo,Ms.,,,,96163.77,1269 Union Lane,Gingindlovu,KN,KwaZulu-Natal,3800,ZA,South Africa,,OluchiChidi@dayrep.com,Shoubless,Ohvohb6w,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",085 226 7388,27,Chidimma,13-07-59,Cancer,MasterCard,5101241551628982,431,Oct-19,,1Z 9W9 742 64 9638 834 4,8640456390,76801743,Purple,Operating room technician,Pro Yard Services,2001 GMC Sierra,OrlandoResumes.co.za,O-,160.4,72.9,"5' 2""",158,4973e163-fb97-476b-8d49-2557a7ca4732,-28.955163,31.64295
32,female,Italian,Ms.,,,,71295.7,,,,,9756,ZA,South Africa,A thankful person is thankful under all circumstances. A complaining soul complains even if he lives in paradise.,MelaniaPalermo@gustr.com,Ponerver,aeViezeu6Oh,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:39.0) Gecko/20100101 Firefox/39.0,083 773 9722,27,Iadanza,13-03-81,Pisces,Visa,4539111149723063,316,Nov-20,,1Z 713 3E8 00 4931 650 6,3709995704,69712799,Brown,Aerospace engineer,Asian Plan,1997 Subaru Vivio,PopBids.co.za,A+,208.8,94.9,"5' 7""",171,eb03895f-ab9f-4af5-ad75-20d92b7acf1e,-30.661381,27.216101
33,male,Eritrean,Mr.,Aziz,M,Russom,57808.9,422 Morgan Rd,Nkandla,KN,KwaZulu-Natal,3855,ZA,South Africa,,AzizRussom@einrot.com,Sawas1956,hahCh4Seghah,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",083 445 3876,27,Ermias,14-09-56,Virgo,Visa,4929474639420402,242,Jul-19,,1Z 45A 370 29 0541 762 5,4298459063,45402262,Green,Political scientist,You Are Successful,2008 Chrysler Sebring,WeatherOdds.co.za,B+,149.4,67.9,"5' 7""",169,1d2d0688-f56b-48f8-8398-ae2e82f461ff,-28.654272,31.087651
34,female,Chinese,Ms.,Wan,N,H?,22120.98,1819 Barlow Street,Mokopane,LI,Limpopo,0615,ZA,South Africa,"What if you gave someone a gift, and they neglected to thank you for it – would you be likely to give them another? Life is the same way. In order to attract more of the blessings that life has to offer, you must truly appreciate what you already have.",WanHe@fleckens.hu,Atrace,Ohfi7quoo,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0,082 792 2488,27,Tsao,05-02-92,Aquarius,Visa,4556039086955521,804,Aug-19,,1Z 19Y 389 05 4507 781 4,1751617952,12635136,Blue,Aerospace engineering and operations technician,Forest City,2001 Kia Potentia,ComercialLandscaping.co.za,O+,181.1,82.3,"5' 1""",155,ef0858ee-d03a-43e7-ba0f-499948c0d62e,-24.185418,29.079668
35,female,American,Ms.,Julia,S,Lopez,86131.08,1500 Union Lane,Hillcrest,KN,KwaZulu-Natal,3660,ZA,South Africa,"I feel a very unusual sensation – if it is not indigestion, I think it must be gratitude.",JuliaSLopez@superrito.com,Torim1982,vo4ooRixah,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,084 818 4828,27,Talkington,02-03-82,Pisces,Visa,4716710478619399,729,Sep-16,,1Z 487 E76 11 7613 151 0,9039202551,49169709,Blue,Cartographer,Bountiful Harvest Health Food Store,2000 Mercury Tracer,ChildcareLawyers.co.za,B+,125.2,56.9,"5' 5""",166,67a7a80c-0b4e-4fc7-b54b-c8d56db9cf5e,-29.814958,30.643459
36,male,Italian,Mr.,Innocenzo,C,Moretti,76242.34,684 Amos St,Saulspoort,NW,North West,0399,ZA,South Africa,"To say thank you, is in recognition of humanity",InnocenzoMoretti@rhyta.com,Poicheir,AhveeSie5c,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36",082 233 2725,27,Genovesi,10-08-55,Leo,Visa,4716723271839858,800,Apr-17,,1Z W31 714 72 0852 379 1,7374659534,21642391,Green,Housing manager,Your Choices,1996 Hyundai Sonata,EducationalAnalysis.co.za,A+,244.9,111.3,"6' 0""",183,039eb8d7-1569-4bad-b755-8e3b6c375de0,-25.189356,27.251504
37,male,Chinese,Mr.,Jie,Y,Su,251.1,1049 Bodenstein St,Nigel,GA,Gauteng,1494,ZA,South Africa,Thank you,JieSu@rhyta.com,Joyagoint,Thai2kahjie,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,084 278 7569,27,Chiang,19-02-79,Pisces,MasterCard,5563875110643460,276,Nov-19,,1Z 027 72A 89 0638 860 1,8662413805,81671832,Blue,Diabetes management nurse,Handy Dan,2010 Holden Caprice,SalonJournal.co.za,A+,155.8,70.8,"6' 2""",188,86f29294-5952-4328-9c47-d754e567455c,-26.407273,28.369491
